task,worker,label
task_0,AI,0
task_3,AI,0
task_4,AI,0
task_8,AI,1
task_9,AI,0
task_14,AI,0
task_18,AI,0
task_22,AI,0
task_33,AI,0
task_36,AI,0
task_41,AI,0
task_42,AI,1
task_45,AI,0
task_48,AI,0
task_49,AI,0
task_54,AI,0
task_57,AI,0
task_58,AI,0
task_60,AI,0
task_69,AI,0
task_70,AI,0
task_72,AI,1
task_74,AI,0
task_75,AI,0
task_78,AI,0
task_81,AI,0
task_82,AI,0
task_88,AI,0
task_98,AI,0
task_99,AI,0
task_111,AI,0
task_112,AI,0
task_114,AI,1
task_116,AI,0
task_120,AI,0
task_122,AI,0
task_123,AI,0
task_125,AI,0
task_128,AI,0
task_132,AI,0
task_138,AI,0
task_141,AI,0
task_142,AI,0
task_144,AI,0
task_150,AI,0
task_163,AI,0
task_164,AI,0
task_170,AI,0
task_173,AI,0
task_176,AI,0
task_177,AI,0
task_183,AI,0
task_189,AI,0
task_191,AI,0
task_193,AI,0
task_194,AI,0
task_196,AI,0
task_198,AI,0
task_201,AI,0
task_203,AI,0
task_206,AI,0
task_207,AI,0
task_211,AI,0
task_213,AI,0
task_214,AI,0
task_216,AI,0
task_219,AI,0
task_220,AI,0
task_225,AI,0
task_229,AI,1
task_231,AI,0
task_235,AI,0
task_242,AI,0
task_256,AI,0
task_258,AI,0
task_259,AI,0
task_264,AI,0
task_267,AI,0
task_270,AI,0
task_271,AI,0
task_273,AI,0
task_274,AI,0
task_283,AI,0
task_286,AI,0
task_289,AI,0
task_294,AI,0
task_297,AI,1
task_298,AI,0
task_300,AI,0
task_302,AI,0
task_303,AI,0
task_304,AI,0
task_305,AI,0
task_306,AI,0
task_317,AI,0
task_318,AI,0
task_331,AI,0
task_334,AI,0
task_337,AI,0
task_338,AI,0
task_340,AI,0
task_347,AI,0
task_350,AI,0
task_358,AI,0
task_362,AI,0
task_364,AI,0
task_366,AI,0
task_368,AI,0
task_376,AI,1
task_378,AI,0
task_384,AI,0
task_385,AI,0
task_386,AI,0
task_392,AI,0
task_397,AI,0
task_408,AI,0
task_409,AI,0
task_410,AI,0
task_413,AI,0
task_417,AI,0
task_419,AI,0
task_420,AI,0
task_424,AI,0
task_430,AI,0
task_436,AI,0
task_437,AI,0
task_439,AI,0
task_451,AI,0
task_452,AI,0
task_461,AI,0
task_464,AI,0
task_467,AI,0
task_471,AI,0
task_472,AI,0
task_480,AI,1
task_482,AI,0
task_483,AI,0
task_488,AI,0
task_493,AI,0
task_494,AI,1
task_497,AI,0
task_506,AI,0
task_507,AI,0
task_510,AI,0
task_511,AI,0
task_512,AI,0
task_514,AI,0
task_519,AI,0
task_521,AI,0
task_525,AI,0
task_526,AI,0
task_529,AI,0
task_530,AI,0
task_538,AI,0
task_542,AI,0
task_544,AI,0
task_549,AI,0
task_552,AI,0
task_553,AI,0
task_554,AI,0
task_562,AI,0
task_574,AI,0
task_577,AI,0
task_580,AI,0
task_584,AI,0
task_585,AI,0
task_587,AI,0
task_593,AI,0
task_598,AI,0
task_601,AI,0
task_602,AI,0
task_604,AI,0
task_605,AI,0
task_607,AI,0
task_610,AI,0
task_616,AI,0
task_618,AI,0
task_621,AI,0
task_627,AI,0
task_629,AI,0
task_634,AI,0
task_635,AI,0
task_636,AI,0
task_640,AI,0
task_647,AI,0
task_649,AI,0
task_653,AI,0
task_661,AI,0
task_663,AI,0
task_670,AI,0
task_676,AI,0
task_684,AI,0
task_685,AI,0
task_686,AI,0
task_689,AI,0
task_690,AI,0
task_697,AI,0
task_699,AI,0
task_705,AI,0
task_706,AI,0
task_708,AI,0
task_710,AI,0
task_712,AI,0
task_715,AI,0
task_716,AI,0
task_722,AI,0
task_728,AI,0
task_729,AI,0
task_736,AI,0
task_740,AI,0
task_742,AI,0
task_743,AI,0
task_745,AI,0
task_748,AI,0
task_757,AI,0
task_762,AI,0
task_765,AI,0
task_770,AI,0
task_775,AI,0
task_779,AI,0
task_783,AI,0
task_786,AI,0
task_788,AI,0
task_789,AI,0
task_793,AI,0
task_795,AI,0
task_799,AI,0
task_808,AI,0
task_809,AI,0
task_812,AI,0
task_813,AI,0
task_816,AI,0
task_819,AI,0
task_820,AI,0
task_822,AI,0
task_824,AI,0
task_826,AI,0
task_827,AI,0
task_828,AI,0
task_831,AI,0
task_834,AI,0
task_835,AI,0
task_839,AI,0
task_842,AI,0
task_844,AI,0
task_845,AI,0
task_847,AI,1
task_850,AI,0
task_859,AI,0
task_863,AI,0
task_866,AI,0
task_875,AI,0
task_877,AI,0
task_879,AI,0
task_885,AI,0
task_897,AI,0
task_899,AI,0
task_904,AI,0
task_913,AI,0
task_916,AI,0
task_924,AI,0
task_931,AI,0
task_947,AI,0
task_948,AI,0
task_951,AI,0
task_954,AI,0
task_956,AI,0
task_960,AI,0
task_961,AI,0
task_962,AI,0
task_964,AI,0
task_971,AI,0
task_980,AI,1
task_984,AI,0
task_986,AI,0
task_993,AI,0
task_995,AI,1
task_997,AI,0
task_1002,AI,0
task_1004,AI,0
task_1007,AI,0
task_1009,AI,0
task_1010,AI,0
task_1011,AI,0
task_1012,AI,1
task_1013,AI,0
task_1018,AI,0
task_1021,AI,0
task_1022,AI,0
task_1024,AI,0
task_1025,AI,0
task_1027,AI,0
task_1031,AI,0
task_1033,AI,0
task_1037,AI,0
task_1041,AI,0
task_1043,AI,1
task_1044,AI,0
task_1047,AI,0
task_1053,AI,0
task_1054,AI,0
task_1056,AI,0
task_1062,AI,0
task_1064,AI,0
task_1065,AI,0
task_1066,AI,0
task_1068,AI,0
task_1071,AI,0
task_1074,AI,0
task_1077,AI,0
task_1079,AI,0
task_1082,AI,0
task_1084,AI,0
task_1086,AI,0
task_1096,AI,0
task_1102,AI,0
task_1104,AI,0
task_1105,AI,0
task_1109,AI,0
task_1110,AI,0
task_1112,AI,0
task_1113,AI,0
task_1120,AI,0
task_1127,AI,0
task_1134,AI,0
task_1136,AI,0
task_1145,AI,0
task_1146,AI,0
task_1147,AI,0
task_1151,AI,0
task_1154,AI,0
task_1160,AI,0
task_1162,AI,0
task_1166,AI,0
task_1169,AI,0
task_1170,AI,0
task_1171,AI,0
task_1172,AI,1
task_1183,AI,0
task_1184,AI,0
task_1185,AI,0
task_1188,AI,0
task_1189,AI,0
task_1191,AI,0
task_1192,AI,0
task_1195,AI,0
task_1196,AI,0
task_1197,AI,0
task_1198,AI,0
task_1204,AI,0
task_1205,AI,0
task_1206,AI,0
task_1208,AI,0
task_1209,AI,0
task_1210,AI,0
task_1212,AI,0
task_1217,AI,0
task_1220,AI,0
task_1223,AI,0
task_1224,AI,0
task_1225,AI,0
task_1227,AI,0
task_1229,AI,0
task_1230,AI,0
task_1233,AI,0
task_1238,AI,0
task_1241,AI,0
task_1246,AI,0
task_1255,AI,0
task_1257,AI,0
task_1258,AI,0
task_1265,AI,0
task_1266,AI,0
task_1283,AI,0
