task,gt,f1,f2,split
task_0,0,0.030496897087052277,-0.06126687622058702,test
task_1,0,0.2137085065605721,0.3313614765113765,train
task_2,0,-0.05018519468646887,0.24308046898709512,train
task_3,0,-0.11672733828362891,0.2195321760607954,test
task_4,0,0.32649151688234956,-0.015597901168426687,test
task_5,0,0.10606492219441627,0.41820843211736336,train
task_6,0,0.4373830616096227,0.3410787478335803,train
task_7,0,0.27494431338218844,0.14184599762245778,train
task_8,0,-0.22838368036991358,0.18850084391866057,test
task_9,0,0.11559673168394059,0.46845090583978705,test
task_10,0,-0.02191750545312482,0.35314525227573257,train
task_11,0,0.12750454909167697,0.4344172879414752,train
task_12,0,0.21787461910868133,0.41240364794101986,train
task_13,0,0.3588362550846186,0.07238110691103139,train
task_14,0,-0.1053301516284445,0.38590910172545734,test
task_15,0,-0.05629676603546824,0.24713137084590592,train
task_16,0,0.09595699503213634,0.16058667603743584,train
task_17,0,-0.04637388716718599,0.09340378613583628,train
task_18,0,-0.006206600830272746,0.3303295716035688,test
task_19,0,0.27587318981103487,0.31710987189316964,train
task_20,0,-0.15062902183871002,0.40386516811098727,train
task_21,0,-0.07827572420536805,0.011778039845172922,train
task_22,0,0.6576165515322903,0.6178615956774662,test
task_23,0,-0.17738897241235202,-0.3320856102847413,train
task_24,0,-0.04476905962629538,0.5128190438518185,train
task_25,0,0.1948623490856187,0.3605458365926582,train
task_26,0,0.028617838864614387,0.005703027627650348,train
task_27,0,0.262289974981082,0.35246425519900243,train
task_28,0,0.15671599987814097,0.13601922054765486,train
task_29,0,0.36389513845660915,0.05015870535083197,train
task_30,0,0.15485286056650396,0.3641240377988155,train
task_31,0,0.41414455199392,0.05343550385579485,train
task_32,0,0.1879731709368295,-0.04824148791187652,train
task_33,0,0.15152560603330714,0.3005912188626074,test
task_34,0,0.11115890060111816,0.04824007708101968,train
task_35,0,0.21213409240449138,0.06852329368583415,train
task_36,0,0.309714389779504,-0.2856198371615893,test
task_37,0,0.17402389598408746,0.13236048276145262,train
task_38,0,0.3475904295758502,0.3751515936291563,train
task_39,0,0.3125275754891821,0.035734256672250025,train
task_40,0,0.24375139050034997,0.1983149359779513,train
task_41,0,0.16096451638331596,0.446070894201477,test
task_42,0,0.0012330077286379082,0.2763785432806933,test
task_43,0,-0.013630790281306648,0.25971487375097324,train
task_44,0,0.35453472053915164,0.13300867332700128,train
task_45,0,0.43801763450076003,0.2334667848737713,test
task_46,0,-0.1682062105831682,0.18581324210877007,train
task_47,0,0.6030524128534595,0.4972123329627295,train
task_48,0,0.1312819273021722,0.2760934815655843,test
task_49,0,0.05615273270592855,0.39279626608631624,test
task_50,0,0.15679827004927815,0.11492059256072273,train
task_51,0,-0.15750724478077133,0.38453360691930055,train
task_52,0,-0.05217597960014514,0.14323051871066084,train
task_53,0,0.29121292005087496,0.3316309505152577,train
task_54,0,0.11428068743994799,0.3396137426219154,test
task_55,0,0.30343536741535226,0.07696075704936317,train
task_56,0,0.16672342081055508,0.2974989380011846,train
task_57,0,0.42267041359171736,0.32026901797711715,test
task_58,0,-0.049718478288232726,-0.17944310821075765,test
task_59,0,0.16767126436656146,0.20868798759318194,train
task_60,0,-0.0019552158898998306,0.10503675444726822,test
